,x,z,m1,m2,m3
83,0.2,0.1,2.0335729087,0.6525218841,0.9267183456
84,0.2,0.2,2.3425981135,0.7809371018,1.7608321391
85,0.2,0.3,2.7055932621,0.8303334103,2.5421252881
86,0.2,0.4,3.1337233131,0.8249813582,3.2989585203
87,0.2,0.5,3.6851728311,0.8575038234,4.0618855695
88,0.3,-0.5,4.1853187449,0.8259124913,4.6965422634
89,0.3,-0.4,2.5666644079,0.0696604538,-2.5777902187
90,0.3,-0.3,2.5126415283,0.2930992499,-1.8409436244
91,0.3,-0.2,2.5966321301,0.5475769815,-1.0270171817
92,0.3,-0.1,2.7238227899,0.8135407249,-0.2172269076
93,0.3,0.0,2.9635527511,1.0869343349,0.5849340088
94,0.3,0.1,3.3719392884,1.4366346125,1.4764769887
95,0.3,0.2,3.8635384994,1.6641775504,2.3024933271
96,0.3,0.3,4.4006915019,1.8639601539,3.0548096472
97,0.3,0.4,4.9363635926,2.0099010953,3.7383111255
98,0.3,0.5,5.4932431791,2.0953707414,4.3599764611
99,0.4,-0.5,5.8093572132,1.858232856,4.755303136
100,0.4,-0.4,0.0855054254,-4.1092817307,-3.9020840959
101,0.4,-0.3,0.2192884032,-3.5712665355,-3.2577713679
102,0.4,-0.2,0.3928177641,-2.970929996,-2.4606908432
103,0.4,-0.1,0.6091408529,-2.4842981666,-1.7466434849
104,0.4,0.0,1.0067198752,-1.8070196597,-0.8537497948
105,0.4,0.1,1.3858708386,-1.3831332896,-0.0001455471
106,0.4,0.2,1.8434061094,-0.9806987614,0.830953264
107,0.4,0.3,2.589705215,-0.483674369,1.7903666007
108,0.4,0.4,3.1412196767,-0.2047419566,2.5666270928
109,0.4,0.5,3.7572671465,0.0133997653,3.3261158434
110,0.5,-0.5,4.3911829482,0.1622815865,3.9353518168
111,0.5,-0.4,5.2044260945,3.9852778327,0.0575091923
112,0.5,-0.3,5.579233806,4.1562249789,0.3974409667
113,0.5,-0.2,5.6788921063,3.8880053975,0.8304557579
114,0.5,-0.1,5.9167115428,3.915294493,1.3328250466
115,0.5,0.0,6.0758812073,3.7189903307,1.7553317339
116,0.5,0.1,6.2302878682,3.5199678181,2.1614873042
117,0.5,0.2,6.3975296805,3.2635178645,2.5721152806
118,0.5,0.3,6.5249360979,3.0528732044,2.9708619282
119,0.5,0.4,6.6641287237,2.7943087844,3.3476575697
120,0.5,0.5,6.8041652162,2.5096377294,3.7131949649
